tahun,komponen,kategori,nilai
2025,R4,detail,1815086356666
2025,R2,detail,1429864093333
2025,Total,penambah,3244950450000
2025,Target,target,3200000000000
2026,R4,detail,1678400000000
2026,R2,detail,1393600000000
2026,Total,penambah,3072000000000
2026,Pengurang,pengurang,52601520290
2026,Target,target,3000000000000
